				Alberta	Alberta	Atlantic Canada	Atlantic Canada	British Columbia	British Columbia	North	North	Ontario	Ontario	Prairies	Prairies	Quebec	Quebec
It may block my view.	Barriers	ADU	High Perceived Neighbors' Support	5	3	2	0	7	0	0	0	13	3	0	0	6	0
None of the above	Barriers	ADU	Low Perceived Neighbors' Support	17	9	18	14	44	7	3	1	131	28	23	10	108	1
It might attract new residents who could disrupt neighbourhood safety or harmony.	Barriers	ADU	Low Perceived Neighbors' Support	59	7	16	18	51	8	0	1	161	20	25	8	112	2
It could disrupt the aesthetics of my neighbourhood.	Barriers	ADU	Low Perceived Neighbors' Support	15	4	8	3	16	3	0	1	65	8	11	3	51	0
It could affect traffic and parking in my neighbourhood.	Barriers	ADU	Low Perceived Neighbors' Support	114	13	22	6	97	11	2	1	250	22	39	9	101	2
It could increase the density of my neighbourhood.	Barriers	ADU	Low Perceived Neighbors' Support	51	7	14	2	48	4	1	1	170	9	19	5	107	2
I believe they are unsuitable to live in and would oppose them in my neighbourhood to protect potential tenants.	Barriers	ADU	Low Perceived Neighbors' Support	9	2	3	2	6	0	0	1	33	3	4	1	24	0
It would reduce my privacy.	Barriers	ADU	Low Perceived Neighbors' Support	25	5	11	8	20	7	0	0	82	17	20	4	46	1
It could lower my quality of life with noise or other disruptions.	Barriers	ADU	Low Perceived Neighbors' Support	47	9	13	11	37	11	2	0	130	20	20	4	105	1
There is not enough space in my neighbourhood or in dwellings within my neighbourhood.	Barriers	ADU	Low Perceived Neighbors' Support	59	10	20	9	50	5	1	0	189	26	28	6	141	0
It may block my view.	Barriers	ADU	Low Perceived Neighbors' Support	9	1	3	1	3	0	0	1	24	3	3	0	14	0
None of the above	Barriers	Middle Housing	High Personal Support	33	7	21	12	61	5	1	0	183	22	21	5	165	2
It could lower my quality of life with noise or other disruptions.	Barriers	Middle Housing	High Personal Support	29	6	9	8	38	2	0	0	90	13	8	2	68	0
It might attract new residents who could disrupt neighbourhood safety or harmony.	Barriers	Middle Housing	High Personal Support	36	3	7	8	35	4	0	0	77	10	16	5	48	0
It could disrupt the aesthetics of my neighbourhood.	Barriers	Middle Housing	High Personal Support	12	5	7	4	11	1	0	0	53	8	5	4	36	1
It could affect traffic and parking in my neighbourhood.	Barriers	Middle Housing	High Personal Support	82	10	19	7	111	4	2	1	212	19	26	3	78	2
Current laws would make it difficult for landlords to evict unpleasant tenants.	Barriers	Middle Housing	High Personal Support	33	4	12	9	44	1	2	1	111	14	17	4	77	0
It would increase the density of my neighbourhood.	Barriers	Middle Housing	High Personal Support	34	4	7	4	45	5	0	1	140	13	17	6	70	2
None of the above	Barriers	Middle Housing	Low Personal Support	11	3	10	8	18	4	3	0	56	17	13	6	51	0
It could lower my quality of life with noise or other disruptions.	Barriers	Middle Housing	Low Personal Support	32	10	14	16	32	9	2	1	92	19	18	9	68	1
It might attract new residents who could disrupt neighbourhood safety or harmony.	Barriers	Middle Housing	Low Personal Support	29	9	12	15	21	8	1	1	97	18	23	4	65	2
It could disrupt the aesthetics of my neighbourhood.	Barriers	Middle Housing	Low Personal Support	15	9	10	5	21	5	0	2	59	23	12	6	43	2
It could affect traffic and parking in my neighbourhood.	Barriers	Middle Housing	Low Personal Support	67	11	18	12	52	11	3	0	159	24	23	9	64	2
Current laws would make it difficult for landlords to evict unpleasant tenants.	Barriers	Middle Housing	Low Personal Support	26	2	12	12	21	11	0	1	79	17	14	5	48	1
It would increase the density of my neighbourhood.	Barriers	Middle Housing	Low Personal Support	28	11	18	4	40	7	1	2	118	18	16	6	58	1
None of the above	Barriers	Middle Housing	High Perceived Neighbors' Support	26	3	16	9	42	1	2	0	128	14	16	3	111	2
It could lower my quality of life with noise or other disruptions.	Barriers	Middle Housing	High Perceived Neighbors' Support	15	5	6	7	29	1	1	0	60	7	5	2	32	0
It might attract new residents who could disrupt neighbourhood safety or harmony.	Barriers	Middle Housing	High Perceived Neighbors' Support	18	1	8	4	26	2	1	0	45	6	10	5	14	0
It could disrupt the aesthetics of my neighbourhood.	Barriers	Middle Housing	High Perceived Neighbors' Support	7	2	3	2	7	0	0	0	35	3	1	3	12	0
It could affect traffic and parking in my neighbourhood.	Barriers	Middle Housing	High Perceived Neighbors' Support	53	4	7	5	73	1	3	1	140	10	16	2	45	0
Current laws would make it difficult for landlords to evict unpleasant tenants.	Barriers	Middle Housing	High Perceived Neighbors' Support	20	3	8	5	29	1	2	0	67	10	9	4	35	0
It would increase the density of my neighbourhood.	Barriers	Middle Housing	High Perceived Neighbors' Support	24	3	7	3	34	3	0	1	98	8	9	3	39	0
None of the above	Barriers	Middle Housing	Low Perceived Neighbors' Support	18	7	15	11	37	8	2	0	111	25	18	8	105	0
It could lower my quality of life with noise or other disruptions.	Barriers	Middle Housing	Low Perceived Neighbors' Support	46	11	17	17	41	10	1	1	122	25	21	9	104	1
It might attract new residents who could disrupt neighbourhood safety or harmony.	Barriers	Middle Housing	Low Perceived Neighbors' Support	47	11	11	19	30	10	0	1	129	22	29	4	99	2
It could disrupt the aesthetics of my neighbourhood.	Barriers	Middle Housing	Low Perceived Neighbors' Support	20	12	14	7	25	6	0	2	77	28	16	7	67	3
It could affect traffic and parking in my neighbourhood.	Barriers	Middle Housing	Low Perceived Neighbors' Support	96	17	30	14	90	14	2	0	231	33	33	10	97	4
Current laws would make it difficult for landlords to evict unpleasant tenants.	Barriers	Middle Housing	Low Perceived Neighbors' Support	39	3	16	16	36	11	0	2	123	21	22	5	90	1
It would increase the density of my neighbourhood.	Barriers	Middle Housing	Low Perceived Neighbors' Support	38	12	18	5	51	9	1	2	160	23	24	9	89	3
None of the above	Barriers	ModularPrefab	High Personal Support	42	15	31	23	72	21	3	2	160	43	28	13	158	4
It might attract new residents who could disrupt neighbourhood safety or harmony.	Barriers	ModularPrefab	High Personal Support	10	3	6	8	15	2	0	0	47	10	3	6	26	1
It could disrupt the aesthetics of my neighbourhood.	Barriers	ModularPrefab	High Personal Support	23	5	6	7	20	0	0	1	62	10	5	2	48	0
I am concerned about its structural integrity compared to the other buildings in my neighbourhood.	Barriers	ModularPrefab	High Personal Support	24	1	14	10	40	0	1	1	121	18	9	5	71	0
It would be less durable and less able to withstand severe weather compared to traditional homes.	Barriers	ModularPrefab	High Personal Support	29	3	11	14	42	3	2	0	112	20	10	9	80	0
None of the above	Barriers	ModularPrefab	Low Personal Support	29	11	14	9	33	5	5	0	123	18	27	9	87	0
It might attract new residents who could disrupt neighbourhood safety or harmony.	Barriers	ModularPrefab	Low Personal Support	35	5	13	4	48	4	0	1	118	16	20	2	57	0
It could disrupt the aesthetics of my neighbourhood.	Barriers	ModularPrefab	Low Personal Support	65	8	15	4	66	4	0	2	178	15	21	3	91	2
I am concerned about its structural integrity compared to the other buildings in my neighbourhood.	Barriers	ModularPrefab	Low Personal Support	51	4	12	4	55	4	0	0	173	17	25	5	80	1
It would be less durable and less able to withstand severe weather compared to traditional homes.	Barriers	ModularPrefab	Low Personal Support	60	11	19	4	54	2	0	1	182	17	26	3	83	2
None of the above	Barriers	ModularPrefab	High Perceived Neighbors' Support	20	9	23	14	41	15	2	1	72	31	18	12	78	3
It might attract new residents who could disrupt neighbourhood safety or harmony.	Barriers	ModularPrefab	High Perceived Neighbors' Support	4	2	3	5	6	2	0	0	23	9	2	5	10	1
It could disrupt the aesthetics of my neighbourhood.	Barriers	ModularPrefab	High Perceived Neighbors' Support	10	2	4	4	10	0	0	0	33	6	4	0	29	0
I am concerned about its structural integrity compared to the other buildings in my neighbourhood.	Barriers	ModularPrefab	High Perceived Neighbors' Support	13	1	8	8	13	0	1	0	62	9	6	5	32	0
It would be less durable and less able to withstand severe weather compared to traditional homes.	Barriers	ModularPrefab	High Perceived Neighbors' Support	14	0	5	9	20	3	2	0	61	11	6	8	41	0
None of the above	Barriers	ModularPrefab	Low Perceived Neighbors' Support	51	17	22	18	64	11	6	1	211	30	37	10	167	1
It might attract new residents who could disrupt neighbourhood safety or harmony.	Barriers	ModularPrefab	Low Perceived Neighbors' Support	41	6	16	7	57	4	0	1	142	17	21	3	73	0
It could disrupt the aesthetics of my neighbourhood.	Barriers	ModularPrefab	Low Perceived Neighbors' Support	78	11	17	7	76	4	0	3	207	19	22	5	110	2
I am concerned about its structural integrity compared to the other buildings in my neighbourhood.	Barriers	ModularPrefab	Low Perceived Neighbors' Support	62	4	18	6	82	4	0	1	232	26	28	5	119	1
It would be less durable and less able to withstand severe weather compared to traditional homes.	Barriers	ModularPrefab	Low Perceived Neighbors' Support	75	14	25	9	76	2	0	1	233	26	30	4	122	2
None of the above	Barriers	SupportiveHousing	High Personal Support	20	4	7	9	27	1	1	0	87	11	11	1	70	3
It could lower my quality of life with noise or other disruptions.	Barriers	SupportiveHousing	High Personal Support	17	4	6	1	15	2	0	2	72	9	7	1	38	0
It might attract residents who could disrupt neighbourhood safety or harmony.	Barriers	SupportiveHousing	High Personal Support	39	7	16	13	49	5	1	2	131	17	19	4	74	0
It could be poorly managed (e.g., due to funding or staffing shortages).	Barriers	SupportiveHousing	High Personal Support	54	11	19	16	60	6	2	1	180	30	33	8	79	1
I do not believe that supportive housing is an effective way to provide housing or support to people.	Barriers	SupportiveHousing	High Personal Support	2	0	1	0	6	1	0	0	11	1	3	1	10	0
None of the above	Barriers	SupportiveHousing	Low Personal Support	20	4	14	6	18	3	0	0	60	10	11	7	52	1
It could lower my quality of life with noise or other disruptions.	Barriers	SupportiveHousing	Low Personal Support	61	15	18	13	82	15	3	1	207	35	27	10	173	1
It might attract residents who could disrupt neighbourhood safety or harmony.	Barriers	SupportiveHousing	Low Personal Support	116	21	40	25	155	19	6	2	354	56	52	19	265	1
It could be poorly managed (e.g., due to funding or staffing shortages).	Barriers	SupportiveHousing	Low Personal Support	91	14	35	25	124	19	5	2	314	43	50	14	216	2
I do not believe that supportive housing is an effective way to provide housing or support to people.	Barriers	SupportiveHousing	Low Personal Support	21	8	9	6	37	5	1	0	86	16	10	1	36	0
None of the above	Barriers	SupportiveHousing	High Perceived Neighbors' Support	11	2	5	5	12	0	1	0	33	2	5	1	32	3
It could lower my quality of life with noise or other disruptions.	Barriers	SupportiveHousing	High Perceived Neighbors' Support	4	3	4	1	5	1	0	1	27	2	3	0	12	0
It might attract residents who could disrupt neighbourhood safety or harmony.	Barriers	SupportiveHousing	High Perceived Neighbors' Support	8	4	8	2	14	1	0	1	45	2	7	4	23	0
It could be poorly managed (e.g., due to funding or staffing shortages).	Barriers	SupportiveHousing	High Perceived Neighbors' Support	12	7	8	5	22	2	1	0	62	11	14	4	33	0
I do not believe that supportive housing is an effective way to provide housing or support to people.	Barriers	SupportiveHousing	High Perceived Neighbors' Support	1	0	1	0	6	1	0	0	9	0	1	1	6	0
None of the above	Barriers	SupportiveHousing	Low Perceived Neighbors' Support	29	6	16	10	33	4	0	0	114	19	17	7	90	1
It could lower my quality of life with noise or other disruptions.	Barriers	SupportiveHousing	Low Perceived Neighbors' Support	74	16	20	13	92	16	3	2	252	42	31	11	199	1
It might attract residents who could disrupt neighbourhood safety or harmony.	Barriers	SupportiveHousing	Low Perceived Neighbors' Support	147	24	48	36	190	23	7	3	440	71	64	19	316	1
It could be poorly managed (e.g., due to funding or staffing shortages).	Barriers	SupportiveHousing	Low Perceived Neighbors' Support	133	18	46	36	162	23	6	3	432	62	69	18	262	3
I do not believe that supportive housing is an effective way to provide housing or support to people.	Barriers	SupportiveHousing	Low Perceived Neighbors' Support	22	8	9	6	37	5	1	0	88	17	12	1	40	0
None of the above	Drivers	ADU	High Personal Support	5	2	7	2	5	1	1	1	14	3	0	0	9	0
It could help accommodate my neighbourhood’s growing population.	Drivers	ADU	High Personal Support	18	0	9	4	36	5	2	1	68	8	5	0	35	0
It would help maximize the use of land in my neighbourhood.	Drivers	ADU	High Personal Support	32	4	8	5	52	6	3	1	105	17	9	8	39	2
It could drive economic opportunities in my neighbourhood (e.g., more support for local businesses).	Drivers	ADU	High Personal Support	25	5	6	4	35	2	1	1	59	14	11	6	59	1
It could bring more affordable housing to my neighbourhood.	Drivers	ADU	High Personal Support	52	7	25	31	108	8	3	0	205	37	33	6	165	1
It could provide more desirable housing in my neighbourhood.	Drivers	ADU	High Personal Support	10	3	4	6	26	1	1	0	51	3	6	3	34	0
It would make the neighbourhood more inclusive by creating more diverse housing options.	Drivers	ADU	High Personal Support	13	5	4	6	26	2	0	0	43	6	2	3	33	1
It would attract more diverse residents and create a more vibrant community.	Drivers	ADU	High Personal Support	8	4	4	1	15	0	0	1	29	2	6	0	19	0
It can help address housing shortages while preserving the character of my neighbourhood by offering an alternative to large-scale developments.	Drivers	ADU	High Personal Support	40	8	25	16	64	3	2	2	154	37	19	6	144	1
It is a more environmentally responsible way to address housing shortages than traditional single family homes.	Drivers	ADU	High Personal Support	33	6	16	11	47	3	2	2	109	26	17	6	79	0
It provides options for elderly people who are looking to downsize, without requiring them to leave the neighbourhood.	Drivers	ADU	High Personal Support	61	14	35	34	91	11	1	1	205	55	38	21	169	2
It would improve my sense of safety in my neighbourhood.	Drivers	ADU	High Personal Support	3	1	1	1	6	0	0	0	22	1	1	1	9	0
None of the above	Drivers	ADU	Low Personal Support	44	3	14	8	39	8	3	1	164	21	34	9	95	0
It could help accommodate my neighbourhood’s growing population.	Drivers	ADU	Low Personal Support	6	3	4	0	9	1	0	0	34	1	4	0	11	0
It would help maximize the use of land in my neighbourhood.	Drivers	ADU	Low Personal Support	7	3	1	2	15	3	0	0	44	10	3	1	11	2
It could drive economic opportunities in my neighbourhood (e.g., more support for local businesses).	Drivers	ADU	Low Personal Support	10	6	4	4	6	0	0	0	31	1	2	1	21	1
It could bring more affordable housing to my neighbourhood.	Drivers	ADU	Low Personal Support	21	9	9	4	23	6	0	0	109	10	9	4	52	1
It could provide more desirable housing in my neighbourhood.	Drivers	ADU	Low Personal Support	3	0	1	2	4	0	0	0	20	3	6	1	11	1
It would make the neighbourhood more inclusive by creating more diverse housing options.	Drivers	ADU	Low Personal Support	10	1	2	0	7	0	0	0	21	4	0	1	19	0
It would attract more diverse residents and create a more vibrant community.	Drivers	ADU	Low Personal Support	4	2	3	2	2	0	0	0	7	1	1	0	9	0
It can help address housing shortages while preserving the character of my neighbourhood by offering an alternative to large-scale developments.	Drivers	ADU	Low Personal Support	21	7	7	3	15	3	0	0	54	9	10	3	55	3
It is a more environmentally responsible way to address housing shortages than traditional single family homes.	Drivers	ADU	Low Personal Support	13	6	2	1	11	4	0	0	50	5	4	0	24	0
It provides options for elderly people who are looking to downsize, without requiring them to leave the neighbourhood.	Drivers	ADU	Low Personal Support	46	11	18	6	32	8	0	0	136	16	16	4	84	3
It would improve my sense of safety in my neighbourhood.	Drivers	ADU	Low Personal Support	2	0	3	0	2	0	0	0	4	0	3	0	4	0
None of the above	Drivers	ADU	High Perceived Neighbors' Support	2	0	6	0	3	0	2	0	7	2	1	0	6	0
It could help accommodate my neighbourhood’s growing population.	Drivers	ADU	High Perceived Neighbors' Support	10	0	5	3	25	2	1	1	34	4	1	0	16	0
It would help maximize the use of land in my neighbourhood.	Drivers	ADU	High Perceived Neighbors' Support	16	3	6	4	29	4	3	1	52	13	5	3	15	1
It could drive economic opportunities in my neighbourhood (e.g., more support for local businesses).	Drivers	ADU	High Perceived Neighbors' Support	10	4	2	0	15	1	0	1	34	6	7	4	26	1
It could bring more affordable housing to my neighbourhood.	Drivers	ADU	High Perceived Neighbors' Support	23	3	12	22	54	6	0	0	98	19	16	3	62	0
It could provide more desirable housing in my neighbourhood.	Drivers	ADU	High Perceived Neighbors' Support	6	1	3	3	14	1	0	0	29	2	4	2	18	0
It would make the neighbourhood more inclusive by creating more diverse housing options.	Drivers	ADU	High Perceived Neighbors' Support	9	3	4	3	14	1	0	0	28	4	1	1	15	1
It would attract more diverse residents and create a more vibrant community.	Drivers	ADU	High Perceived Neighbors' Support	5	3	2	1	11	0	0	0	16	0	3	0	5	0
It can help address housing shortages while preserving the character of my neighbourhood by offering an alternative to large-scale developments.	Drivers	ADU	High Perceived Neighbors' Support	16	5	10	11	40	2	2	2	73	17	11	2	54	1
It is a more environmentally responsible way to address housing shortages than traditional single family homes.	Drivers	ADU	High Perceived Neighbors' Support	16	4	10	5	27	2	1	1	56	15	4	4	35	0
It provides options for elderly people who are looking to downsize, without requiring them to leave the neighbourhood.	Drivers	ADU	High Perceived Neighbors' Support	25	9	16	22	51	9	0	0	106	31	15	10	61	1
It would improve my sense of safety in my neighbourhood.	Drivers	ADU	High Perceived Neighbors' Support	3	1	1	0	4	0	0	0	15	0	1	1	5	0
None of the above	Drivers	ADU	Low Perceived Neighbors' Support	47	5	15	10	41	9	2	2	171	22	33	9	98	0
It could help accommodate my neighbourhood’s growing population.	Drivers	ADU	Low Perceived Neighbors' Support	14	3	8	1	20	4	1	0	68	5	8	0	30	0
It would help maximize the use of land in my neighbourhood.	Drivers	ADU	Low Perceived Neighbors' Support	23	4	3	3	38	5	0	0	97	14	7	6	35	3
It could drive economic opportunities in my neighbourhood (e.g., more support for local businesses).	Drivers	ADU	Low Perceived Neighbors' Support	25	7	8	8	26	1	1	0	56	9	6	3	54	1
It could bring more affordable housing to my neighbourhood.	Drivers	ADU	Low Perceived Neighbors' Support	50	13	22	13	77	8	3	0	216	28	26	7	155	2
It could provide more desirable housing in my neighbourhood.	Drivers	ADU	Low Perceived Neighbors' Support	7	2	2	5	16	0	1	0	42	4	8	2	27	1
It would make the neighbourhood more inclusive by creating more diverse housing options.	Drivers	ADU	Low Perceived Neighbors' Support	14	3	2	3	19	1	0	0	36	6	1	3	37	0
It would attract more diverse residents and create a more vibrant community.	Drivers	ADU	Low Perceived Neighbors' Support	7	3	5	2	6	0	0	1	20	3	4	0	23	0
It can help address housing shortages while preserving the character of my neighbourhood by offering an alternative to large-scale developments.	Drivers	ADU	Low Perceived Neighbors' Support	45	10	22	8	39	4	0	0	135	29	18	7	145	3
It is a more environmentally responsible way to address housing shortages than traditional single family homes.	Drivers	ADU	Low Perceived Neighbors' Support	30	8	8	7	31	5	1	1	103	16	17	2	68	0
It provides options for elderly people who are looking to downsize, without requiring them to leave the neighbourhood.	Drivers	ADU	Low Perceived Neighbors' Support	82	16	37	18	72	10	1	1	235	40	39	15	192	4
It would improve my sense of safety in my neighbourhood.	Drivers	ADU	Low Perceived Neighbors' Support	2	0	3	1	4	0	0	0	11	1	3	0	8	0
None of the above	Drivers	Middle Housing	High Personal Support	8	4	4	3	13	0	1	0	50	0	3	0	31	0
It could help accommodate my neighbourhood’s growing population.	Drivers	Middle Housing	High Personal Support	28	5	14	8	49	2	1	1	120	13	13	2	67	1
It could increase the housing supply while preserving the character of my neighbourhood.	Drivers	Middle Housing	High Personal Support	26	9	14	4	40	2	0	0	99	9	12	0	93	0
It could help maximize the use of land in my neighbourhood.	Drivers	Middle Housing	High Personal Support	52	7	15	8	82	6	1	1	178	29	15	5	78	2
It could drive economic opportunities in my neighbourhood (e.g., more support for local businesses).	Drivers	Middle Housing	High Personal Support	36	3	7	7	27	3	0	0	73	9	13	6	63	1
It could bring more affordable housing to my neighbourhood.	Drivers	Middle Housing	High Personal Support	82	11	30	20	120	11	1	0	290	40	35	7	185	1
It could provide more comfortable housing in my neighbourhood.	Drivers	Middle Housing	High Personal Support	23	6	10	5	42	2	0	0	86	11	15	7	68	2
I would like to have the option to convert my own home into middle housing.	Drivers	Middle Housing	High Personal Support	9	0	2	2	16	2	2	0	23	2	3	0	18	0
It would make the neighbourhood more inclusive by creating more diverse housing options.	Drivers	Middle Housing	High Personal Support	28	1	6	3	34	1	1	1	74	7	8	1	42	1
It would attract more diverse residents and create a more vibrant community.	Drivers	Middle Housing	High Personal Support	12	2	7	0	17	0	1	0	29	1	4	4	47	0
It is a more environmentally responsible way to address housing shortages than traditional single family homes.	Drivers	Middle Housing	High Personal Support	39	2	16	4	52	3	0	2	148	26	18	5	77	2
None of the above	Drivers	Middle Housing	Low Personal Support	47	7	18	13	48	12	3	2	161	36	35	14	98	0
It could help accommodate my neighbourhood’s growing population.	Drivers	Middle Housing	Low Personal Support	9	3	8	0	13	4	1	0	34	7	7	0	9	0
It could increase the housing supply while preserving the character of my neighbourhood.	Drivers	Middle Housing	Low Personal Support	6	1	5	2	10	2	1	1	16	6	3	1	25	0
It could help maximize the use of land in my neighbourhood.	Drivers	Middle Housing	Low Personal Support	10	3	7	9	15	4	1	0	52	11	4	3	22	2
It could drive economic opportunities in my neighbourhood (e.g., more support for local businesses).	Drivers	Middle Housing	Low Personal Support	10	5	7	5	5	0	0	0	31	6	5	1	29	0
It could bring more affordable housing to my neighbourhood.	Drivers	Middle Housing	Low Personal Support	23	9	10	12	27	4	0	0	69	19	8	5	52	1
It could provide more comfortable housing in my neighbourhood.	Drivers	Middle Housing	Low Personal Support	3	3	3	1	7	2	0	0	24	8	2	2	22	1
I would like to have the option to convert my own home into middle housing.	Drivers	Middle Housing	Low Personal Support	2	0	1	0	2	1	0	0	5	1	3	0	3	0
It would make the neighbourhood more inclusive by creating more diverse housing options.	Drivers	Middle Housing	Low Personal Support	1	4	2	6	4	0	0	0	16	6	1	2	11	2
It would attract more diverse residents and create a more vibrant community.	Drivers	Middle Housing	Low Personal Support	2	2	1	3	2	2	0	0	13	2	1	1	8	0
It is a more environmentally responsible way to address housing shortages than traditional single family homes.	Drivers	Middle Housing	Low Personal Support	13	1	11	9	10	5	2	0	34	13	7	0	27	2
None of the above	Drivers	Middle Housing	High Perceived Neighbors' Support	5	0	3	1	11	0	2	0	33	1	2	0	16	0
It could help accommodate my neighbourhood’s growing population.	Drivers	Middle Housing	High Perceived Neighbors' Support	22	2	8	6	35	0	1	1	88	10	11	1	43	1
It could increase the housing supply while preserving the character of my neighbourhood.	Drivers	Middle Housing	High Perceived Neighbors' Support	15	6	11	4	25	0	0	0	67	5	6	0	55	0
It could help maximize the use of land in my neighbourhood.	Drivers	Middle Housing	High Perceived Neighbors' Support	36	4	9	5	57	1	1	0	119	13	10	2	53	1
It could drive economic opportunities in my neighbourhood (e.g., more support for local businesses).	Drivers	Middle Housing	High Perceived Neighbors' Support	21	2	5	4	18	1	0	0	50	6	11	3	34	1
It could bring more affordable housing to my neighbourhood.	Drivers	Middle Housing	High Perceived Neighbors' Support	56	6	18	12	77	4	1	0	189	18	24	7	108	1
It could provide more comfortable housing in my neighbourhood.	Drivers	Middle Housing	High Perceived Neighbors' Support	16	4	5	5	31	2	0	0	59	8	13	6	40	1
I would like to have the option to convert my own home into middle housing.	Drivers	Middle Housing	High Perceived Neighbors' Support	7	0	2	1	12	1	2	0	10	1	1	0	11	0
It would make the neighbourhood more inclusive by creating more diverse housing options.	Drivers	Middle Housing	High Perceived Neighbors' Support	21	1	2	3	24	0	1	0	44	4	2	0	22	0
It would attract more diverse residents and create a more vibrant community.	Drivers	Middle Housing	High Perceived Neighbors' Support	8	2	7	0	11	0	1	0	21	1	2	2	26	0
It is a more environmentally responsible way to address housing shortages than traditional single family homes.	Drivers	Middle Housing	High Perceived Neighbors' Support	21	0	10	3	31	0	1	1	97	14	10	3	44	0
None of the above	Drivers	Middle Housing	Low Perceived Neighbors' Support	50	11	19	15	50	12	2	2	178	35	36	14	113	0
It could help accommodate my neighbourhood’s growing population.	Drivers	Middle Housing	Low Perceived Neighbors' Support	15	6	14	2	27	6	1	0	66	10	9	1	33	0
It could increase the housing supply while preserving the character of my neighbourhood.	Drivers	Middle Housing	Low Perceived Neighbors' Support	17	4	8	2	25	4	1	1	48	10	9	1	63	0
It could help maximize the use of land in my neighbourhood.	Drivers	Middle Housing	Low Perceived Neighbors' Support	26	6	13	12	40	9	1	1	111	27	9	6	47	3
