				Alberta	Alberta	Atlantic Canada	Atlantic Canada	British Columbia	British Columbia	North	North	Ontario	Ontario	Prairies	Prairies	Quebec	Quebec
Building management plan	Key Pieces of Information	ADU	High Personal Support	28	7	12	12	40	8	2	2	94	16	8	3	75	0
Detailed information about the process and timelines	Key Pieces of Information	ADU	High Personal Support	32	6	13	14	53	3	3	1	126	19	12	3	66	1
Man	Gender	ADU	Low Personal Support	55	14	18	7	48	10	1	1	206	22	25	10	123	2
Woman	Gender	ADU	Low Personal Support	61	9	20	14	56	10	2	0	198	29	34	7	115	2
Non-binary	Gender	ADU	Low Personal Support	1	0	0	0	0	0	0	0	1	0	0	0	1	0
Prefer not to answer	Gender	ADU	Low Personal Support	0	0	1	0	0	0	0	0	1	0	2	0	2	0
25 to 34 years	Age Group 	ADU	Low Personal Support	17	5	3	1	16	0	0	0	64	4	8	3	41	1
35 to 44 years	Age Group 	ADU	Low Personal Support	21	7	8	5	15	2	1	0	76	7	11	2	32	0
45 to 54 years	Age Group 	ADU	Low Personal Support	21	5	9	4	21	5	0	0	83	12	11	2	47	1
55 to 64 years	Age Group 	ADU	Low Personal Support	25	1	9	4	27	3	0	0	85	8	15	5	59	0
65 to 74 years	Age Group 	ADU	Low Personal Support	21	5	6	7	13	5	1	1	51	10	8	5	37	1
75 to 84 years	Age Group 	ADU	Low Personal Support	11	0	2	0	6	4	1	0	28	6	5	0	15	0
85 years and over	Age Group 	ADU	Low Personal Support	1	0	2	0	6	1	0	0	19	4	3	0	10	1
$100,001 - $130,000	Household Income	ADU	Low Personal Support	15	2	10	1	18	1	1	0	52	7	12	2	35	0
$40,000 - $70,000	Household Income	ADU	Low Personal Support	25	2	2	4	15	5	1	0	79	12	17	4	50	1
$70,001 - $100,000	Household Income	ADU	Low Personal Support	27	4	8	6	18	2	0	0	64	6	7	7	42	0
Less than $40,000	Household Income	ADU	Low Personal Support	21	7	10	5	19	4	0	0	74	16	14	2	12	0
More than $130,000	Household Income	ADU	Low Personal Support	14	5	3	2	19	6	1	1	76	5	7	1	5	2
Prefer not to answer	Household Income	ADU	Low Personal Support	15	3	6	3	15	2	0	0	61	5	4	1	32	1
Owners	Type of Housing 	ADU	Low Personal Support	95	18	28	19	67	19	2	1	263	40	39	15	149	4
Non-Owners	Type of Housing 	ADU	Low Personal Support	22	5	11	2	37	1	1	0	143	11	22	2	92	0
I live alone	Household Composition	ADU	Low Personal Support	31	7	7	4	30	6	1	0	96	10	19	2	74	0
Your spouse or common-law partner	Household Composition	ADU	Low Personal Support	69	15	28	15	59	13	2	1	255	37	36	13	141	4
Your parent(s) (including in-laws)	Household Composition	ADU	Low Personal Support	4	0	2	1	6	0	0	0	31	2	1	1	8	0
Your grandparent(s) (including in-laws)	Household Composition	ADU	Low Personal Support	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Your child (birth, adopted, step or foster)	Household Composition	ADU	Low Personal Support	22	5	14	2	24	1	0	0	99	13	11	1	26	0
Multiple of your children (birth, adopted, step or foster)	Household Composition	ADU	Low Personal Support	14	5	1	5	9	2	0	0	39	3	6	4	33	1
Your grandchild(ren)	Household Composition	ADU	Low Personal Support	0	1	0	0	1	0	0	0	1	1	1	0	3	0
Your sibling(s)	Household Composition	ADU	Low Personal Support	1	0	0	0	5	0	0	0	15	0	1	0	2	0
Other relative(s)	Household Composition	ADU	Low Personal Support	1	1	0	0	2	0	0	0	7	1	1	0	0	0
Other non-relative(s)	Household Composition	ADU	Low Personal Support	7	0	0	0	4	0	0	0	15	1	2	0	7	0
Information about benefits to your community associated with the innovation	Key Pieces of Information	ADU	Low Personal Support	41	11	24	11	45	5	2	0	175	24	28	9	116	3
Information about the organisation providing the innovation	Key Pieces of Information	ADU	Low Personal Support	38	8	8	9	33	6	1	0	136	18	17	8	72	1
Sources of funding for the project	Key Pieces of Information	ADU	Low Personal Support	30	11	19	8	32	6	0	0	141	21	19	6	96	1
Contact details of the organisation providing the innovation	Key Pieces of Information	ADU	Low Personal Support	21	4	5	4	13	8	0	0	83	7	11	7	38	1
Reviews of the organisation providing the innovation	Key Pieces of Information	ADU	Low Personal Support	34	2	9	3	29	6	2	0	106	19	17	6	54	0
Images or physical demos of the housing itself	Key Pieces of Information	ADU	Low Personal Support	49	9	12	6	21	7	2	0	131	10	21	6	73	0
Building specifications (e.g. the number of new units to be constructed & the height of the building)	Key Pieces of Information	ADU	Low Personal Support	63	15	15	11	50	9	2	0	177	20	21	6	87	3
Building management plan	Key Pieces of Information	ADU	Low Personal Support	29	3	8	6	33	8	0	0	92	11	11	3	65	1
Detailed information about the process and timelines	Key Pieces of Information	ADU	Low Personal Support	36	6	10	5	22	3	0	1	102	9	16	0	49	2
Man	Gender	ADU	High Perceived Neighbors' Support	31	6	14	13	50	6	1	1	116	14	18	2	78	0
Woman	Gender	ADU	High Perceived Neighbors' Support	26	6	16	15	61	5	4	1	101	30	10	12	56	2
Non-binary	Gender	ADU	High Perceived Neighbors' Support	0	0	1	0	0	0	0	0	1	0	1	0	1	0
Prefer not to answer	Gender	ADU	High Perceived Neighbors' Support	0	0	0	1	1	0	0	0	1	0	0	0	0	0
25 to 34 years	Age Group 	ADU	High Perceived Neighbors' Support	15	1	7	2	20	1	0	1	45	3	6	4	20	0
35 to 44 years	Age Group 	ADU	High Perceived Neighbors' Support	22	2	2	5	21	1	4	0	49	8	8	4	18	0
45 to 54 years	Age Group 	ADU	High Perceived Neighbors' Support	11	2	6	5	22	3	0	0	52	11	6	0	30	1
55 to 64 years	Age Group 	ADU	High Perceived Neighbors' Support	5	2	5	10	19	4	0	1	33	13	5	4	28	0
65 to 74 years	Age Group 	ADU	High Perceived Neighbors' Support	2	1	8	3	14	1	0	0	27	6	0	1	22	0
75 to 84 years	Age Group 	ADU	High Perceived Neighbors' Support	2	4	3	4	12	1	1	0	9	2	4	1	11	1
85 years and over	Age Group 	ADU	High Perceived Neighbors' Support	0	0	0	0	4	0	0	0	4	1	0	0	6	0
$100,001 - $130,000	Household Income	ADU	High Perceived Neighbors' Support	8	3	2	2	17	1	2	2	32	8	3	3	20	0
$40,000 - $70,000	Household Income	ADU	High Perceived Neighbors' Support	10	4	8	8	25	3	0	0	49	12	8	3	30	1
$70,001 - $100,000	Household Income	ADU	High Perceived Neighbors' Support	12	1	7	4	19	3	0	0	40	8	3	2	21	0
Less than $40,000	Household Income	ADU	High Perceived Neighbors' Support	10	1	7	7	17	1	0	0	50	9	7	1	7	1
More than $130,000	Household Income	ADU	High Perceived Neighbors' Support	12	2	3	5	30	3	3	0	42	6	8	2	4	0
Prefer not to answer	Household Income	ADU	High Perceived Neighbors' Support	5	1	4	3	4	0	0	0	6	1	0	3	9	0
Owners	Type of Housing 	ADU	High Perceived Neighbors' Support	32	12	18	22	71	7	4	2	137	38	20	12	69	2
Non-Owners	Type of Housing 	ADU	High Perceived Neighbors' Support	25	0	13	7	41	4	1	0	82	6	9	2	66	0
I live alone	Household Composition	ADU	High Perceived Neighbors' Support	9	2	5	3	14	1	0	1	41	7	6	1	40	0
Your spouse or common-law partner	Household Composition	ADU	High Perceived Neighbors' Support	37	9	23	23	74	9	4	1	139	29	18	11	76	2
Your parent(s) (including in-laws)	Household Composition	ADU	High Perceived Neighbors' Support	3	2	1	2	11	1	1	0	13	5	2	1	7	0
Your grandparent(s) (including in-laws)	Household Composition	ADU	High Perceived Neighbors' Support	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Your child (birth, adopted, step or foster)	Household Composition	ADU	High Perceived Neighbors' Support	16	2	5	6	32	0	1	0	75	14	6	5	20	1
Multiple of your children (birth, adopted, step or foster)	Household Composition	ADU	High Perceived Neighbors' Support	11	1	2	1	9	1	0	0	23	5	5	3	18	0
Your grandchild(ren)	Household Composition	ADU	High Perceived Neighbors' Support	1	1	1	1	3	0	0	0	2	1	0	1	2	0
Your sibling(s)	Household Composition	ADU	High Perceived Neighbors' Support	1	0	1	1	8	0	0	0	10	3	0	0	2	0
Other relative(s)	Household Composition	ADU	High Perceived Neighbors' Support	1	0	0	0	5	0	0	0	6	3	1	1	4	0
Other non-relative(s)	Household Composition	ADU	High Perceived Neighbors' Support	5	0	1	1	10	0	1	0	11	2	1	0	4	0
Information about benefits to your community associated with the innovation	Key Pieces of Information	ADU	Low Perceived Neighbors' Support	28	7	18	13	54	6	2	2	104	20	21	9	66	1
Information about the organisation providing the innovation	Key Pieces of Information	ADU	Low Perceived Neighbors' Support	17	3	7	11	28	1	4	1	68	17	8	4	43	1
Sources of funding for the project	Key Pieces of Information	ADU	Low Perceived Neighbors' Support	13	6	9	11	36	4	1	0	73	20	13	6	55	1
Contact details of the organisation providing the innovation	Key Pieces of Information	ADU	Low Perceived Neighbors' Support	7	4	5	4	18	2	1	0	46	11	4	1	32	1
Reviews of the organisation providing the innovation	Key Pieces of Information	ADU	Low Perceived Neighbors' Support	16	2	9	7	30	4	2	0	54	12	8	1	28	2
Images or physical demos of the housing itself	Key Pieces of Information	ADU	Low Perceived Neighbors' Support	25	3	10	8	28	6	0	1	64	12	6	8	51	0
Building specifications (e.g. the number of new units to be constructed, the height of the building)	Key Pieces of Information	ADU	Low Perceived Neighbors' Support	27	2	16	10	50	3	4	1	111	20	9	3	41	0
Building management plan	Key Pieces of Information	ADU	Low Perceived Neighbors' Support	11	2	7	9	15	5	0	1	44	8	6	3	30	0
Detailed information about the process and timelines	Key Pieces of Information	ADU	Low Perceived Neighbors' Support	16	5	9	9	32	1	1	0	61	9	5	3	25	0
Man	Gender	ADU	Low Perceived Neighbors' Support	86	19	30	12	86	13	2	2	302	36	39	15	215	2
Woman	Gender	ADU	Low Perceived Neighbors' Support	95	16	35	28	100	13	3	1	306	51	51	13	221	3
Non-binary	Gender	ADU	Low Perceived Neighbors' Support	2	0	0	0	0	0	0	0	3	0	0	0	2	0
Prefer not to answer	Gender	ADU	Low Perceived Neighbors' Support	0	0	1	0	2	0	0	0	1	0	3	0	5	0
25 to 34 years	Age Group 	ADU	Low Perceived Neighbors' Support	25	5	4	3	30	0	0	0	95	5	11	3	66	1
35 to 44 years	Age Group 	ADU	Low Perceived Neighbors' Support	29	9	10	8	24	4	0	0	108	13	18	5	72	0
45 to 54 years	Age Group 	ADU	Low Perceived Neighbors' Support	40	7	12	8	32	5	2	0	134	14	12	3	77	2
55 to 64 years	Age Group 	ADU	Low Perceived Neighbors' Support	44	3	18	9	44	5	0	1	126	19	24	8	104	0
65 to 74 years	Age Group 	ADU	Low Perceived Neighbors' Support	29	6	13	12	33	6	2	2	77	22	15	7	75	1
75 to 84 years	Age Group 	ADU	Low Perceived Neighbors' Support	13	1	5	0	14	5	1	0	47	10	10	2	33	0
85 years and over	Age Group 	ADU	Low Perceived Neighbors' Support	3	4	4	0	11	1	0	0	25	4	3	0	16	1
$100,001 - $130,000	Household Income	ADU	Low Perceived Neighbors' Support	27	3	13	2	25	1	2	0	78	11	18	2	66	0
$40,000 - $70,000	Household Income	ADU	Low Perceived Neighbors' Support	37	3	12	10	30	5	1	2	116	17	24	7	97	1
$70,001 - $100,000	Household Income	ADU	Low Perceived Neighbors' Support	37	5	11	11	31	3	0	0	104	15	11	10	75	0
Less than $40,000	Household Income	ADU	Low Perceived Neighbors' Support	34	11	15	9	43	8	0	0	128	25	24	4	15	0
More than $130,000	Household Income	ADU	Low Perceived Neighbors' Support	26	9	6	5	35	6	2	1	114	13	10	4	9	3
Prefer not to answer	Household Income	ADU	Low Perceived Neighbors' Support	22	4	9	3	24	3	0	0	72	6	6	1	48	1
Owners	Type of Housing 	ADU	Low Perceived Neighbors' Support	145	25	46	35	105	25	4	2	382	71	58	26	269	5
Non-Owners	Type of Housing 	ADU	Low Perceived Neighbors' Support	38	10	20	5	83	1	1	1	230	16	35	2	174	0
I live alone	Household Composition	ADU	Low Perceived Neighbors' Support	45	12	17	9	64	7	1	0	151	15	25	6	137	0
Your spouse or common-law partner	Household Composition	ADU	Low Perceived Neighbors' Support	108	19	40	27	94	18	3	3	364	65	61	18	249	4
Your parent(s) (including in-laws)	Household Composition	ADU	Low Perceived Neighbors' Support	7	3	3	1	12	0	0	0	49	4	2	1	9	0
Your grandparent(s) (including in-laws)	Household Composition	ADU	Low Perceived Neighbors' Support	0	0	0	0	0	0	0	0	3	0	0	0	0	0
Your child (birth, adopted, step or foster)	Household Composition	ADU	Low Perceived Neighbors' Support	39	7	20	7	39	1	0	1	143	20	21	4	55	1
Multiple of your children (birth, adopted, step or foster)	Household Composition	ADU	Low Perceived Neighbors' Support	17	5	2	6	13	4	1	0	52	9	9	5	59	1
Your grandchild(ren)	Household Composition	ADU	Low Perceived Neighbors' Support	0	1	1	0	3	0	0	0	3	3	1	0	5	0
Your sibling(s)	Household Composition	ADU	Low Perceived Neighbors' Support	5	0	0	0	5	0	0	0	22	1	1	0	4	0
Other relative(s)	Household Composition	ADU	Low Perceived Neighbors' Support	1	1	0	0	2	0	0	0	8	2	1	0	1	0
Other non-relative(s)	Household Composition	ADU	Low Perceived Neighbors' Support	11	0	3	0	11	0	0	1	28	1	2	0	14	0
Information about benefits to your community associated with the innovation	Key Pieces of Information	ADU	Low Perceived Neighbors' Support	73	16	40	21	86	7	3	1	274	40	49	13	203	3
Information about the organisation providing the innovation	Key Pieces of Information	ADU	Low Perceived Neighbors' Support	58	13	16	19	61	10	0	2	200	34	28	15	141	1
Sources of funding for the project	Key Pieces of Information	ADU	Low Perceived Neighbors' Support	47	17	31	14	54	9	0	0	218	30	33	13	162	1
Contact details of the organisation providing the innovation	Key Pieces of Information	ADU	Low Perceived Neighbors' Support	35	5	10	6	24	8	0	1	109	11	16	8	73	1
Reviews of the organisation providing the innovation	Key Pieces of Information	ADU	Low Perceived Neighbors' Support	50	7	12	9	50	7	1	0	156	26	26	11	90	0
Images or physical demos of the housing itself	Key Pieces of Information	ADU	Low Perceived Neighbors' Support	75	11	23	11	47	8	2	0	202	22	31	6	141	1
Building specifications (e.g. the number of new units to be constructed, the height of the building)	Key Pieces of Information	ADU	Low Perceived Neighbors' Support	98	17	29	19	91	13	4	0	258	37	36	12	178	4
Building management plan	Key Pieces of Information	ADU	Low Perceived Neighbors' Support	46	8	13	9	58	11	2	1	142	19	13	3	110	1
Detailed information about the process and timelines	Key Pieces of Information	ADU	Low Perceived Neighbors' Support	52	7	14	10	43	5	2	2	167	19	23	0	90	3
Man	Gender	Middle Housing	High Personal Support	65	11	27	15	90	7	1	0	245	18	31	5	183	0
Woman	Gender	Middle Housing	High Personal Support	80	14	26	16	112	6	3	2	267	40	32	13	183	4
Non-binary	Gender	Middle Housing	High Personal Support	1	0	1	0	0	0	0	0	3	0	1	0	2	0
Prefer not to answer	Gender	Middle Housing	High Personal Support	0	0	0	1	3	0	0	0	1	0	1	0	2	0
25 to 34 years	Age Group 	Middle Housing	High Personal Support	27	2	5	3	44	1	0	0	98	3	11	5	64	0
35 to 44 years	Age Group 	Middle Housing	High Personal Support	36	6	7	5	31	2	3	0	102	13	16	4	64	0
45 to 54 years	Age Group 	Middle Housing	High Personal Support	35	5	10	8	31	2	0	0	113	12	6	1	69	3
55 to 64 years	Age Group 	Middle Housing	High Personal Support	29	3	11	8	41	4	0	1	95	14	15	3	80	0
65 to 74 years	Age Group 	Middle Housing	High Personal Support	12	3	12	6	37	2	1	1	62	10	7	3	55	1
75 to 84 years	Age Group 	Middle Housing	High Personal Support	5	2	6	2	16	1	0	0	32	4	9	2	26	0
85 years and over	Age Group 	Middle Housing	High Personal Support	2	4	3	0	5	1	0	0	14	2	1	0	12	0
$100,001 - $130,000	Household Income	Middle Housing	High Personal Support	26	3	6	2	25	0	0	1	66	10	10	2	59	0
$40,000 - $70,000	Household Income	Middle Housing	High Personal Support	30	4	14	8	37	5	0	1	111	12	21	4	79	1
$70,001 - $100,000	Household Income	Middle Housing	High Personal Support	29	3	14	4	38	3	0	0	89	14	6	5	59	0
Less than $40,000	Household Income	Middle Housing	High Personal Support	31	7	9	10	40	3	0	0	121	12	17	3	16	0
More than $130,000	Household Income	Middle Housing	High Personal Support	21	6	4	7	47	1	4	0	99	9	10	2	10	2
Prefer not to answer	Household Income	Middle Housing	High Personal Support	9	2	7	1	18	1	0	0	30	1	1	2	25	1
Owners	Type of Housing 	Middle Housing	High Personal Support	0	18	31	23	118	11	3	2	292	50	39	16	191	4
Non-Owners	Type of Housing 	Middle Housing	High Personal Support	45	7	23	9	87	2	1	0	224	8	26	2	179	0
I live alone	Household Composition	Middle Housing	High Personal Support	32	8	12	4	49	2	0	0	122	9	18	5	119	0
Your spouse or common-law partner	Household Composition	Middle Housing	High Personal Support	91	13	34	24	121	10	3	2	304	46	40	10	200	3
Your parent(s) (including in-laws)	Household Composition	Middle Housing	High Personal Support	5	4	2	2	13	0	1	0	35	5	3	1	12	0
Your grandparent(s) (including in-laws)	Household Composition	Middle Housing	High Personal Support	0	0	0	0	2	0	0	0	2	0	0	0	0	0
Your child (birth, adopted, step or foster)	Household Composition	Middle Housing	High Personal Support	37	7	14	6	52	0	0	1	129	17	15	4	45	2
Multiple of your children (birth, adopted, step or foster)	Household Composition	Middle Housing	High Personal Support	21	2	3	4	13	2	0	0	55	7	9	4	52	1
Your grandchild(ren)	Household Composition	Middle Housing	High Personal Support	0	1	2	1	5	0	0	0	4	2	0	0	4	0
Your sibling(s)	Household Composition	Middle Housing	High Personal Support	3	0	1	1	6	0	0	0	23	3	0	0	5	0
Other relative(s)	Household Composition	Middle Housing	High Personal Support	2	0	0	0	3	0	0	0	6	2	2	1	3	0
Other non-relative(s)	Household Composition	Middle Housing	High Personal Support	11	0	2	1	18	0	0	1	26	0	1	0	13	0
Information about benefits to your community associated with the innovation	Key Pieces of Information	Middle Housing	High Personal Support	53	9	31	20	92	4	1	1	221	28	32	8	163	2
Information about the organisation providing the innovation	Key Pieces of Information	Middle Housing	High Personal Support	45	11	16	12	58	7	2	2	163	24	26	5	127	1
Sources of funding for the project	Key Pieces of Information	Middle Housing	High Personal Support	37	13	17	15	51	7	3	0	151	20	19	6	137	2
Contact details of the organisation providing the innovation	Key Pieces of Information	Middle Housing	High Personal Support	19	4	4	3	23	1	2	1	90	12	12	3	78	1
Reviews of the organisation providing the innovation	Key Pieces of Information	Middle Housing	High Personal Support	40	12	14	8	59	4	2	0	139	19	16	4	73	1
Images or physical demos of the housing itself	Key Pieces of Information	Middle Housing	High Personal Support	66	7	19	10	65	4	0	0	171	11	14	5	128	1
Building specifications (e.g. the number of new units to be constructed & the height of the building)	Key Pieces of Information	Middle Housing	High Personal Support	84	8	24	14	103	8	2	0	258	25	38	9	155	3
Building management plan	Key Pieces of Information	Middle Housing	High Personal Support	31	6	13	5	58	3	0	2	132	13	14	6	89	0
Detailed information about the process and timelines	Key Pieces of Information	Middle Housing	High Personal Support	42	3	17	7	44	2	0	0	145	16	15	3	65	0
Man	Gender	Middle Housing	Low Personal Support	52	14	17	10	46	12	2	3	173	32	26	12	110	2
Woman	Gender	Middle Housing	Low Personal Support	41	8	25	27	49	12	4	0	140	41	29	12	94	1
Non-binary	Gender	Middle Housing	Low Personal Support	1	0	0	0	0	0	0	0	1	0	0	0	1	0
Prefer not to answer	Gender	Middle Housing	Low Personal Support	0	0	1	0	0	0	0	0	1	0	2	0	3	0
25 to 34 years	Age Group 	Middle Housing	Low Personal Support	13	4	6	2	6	0	0	1	42	5	6	2	22	1
35 to 44 years	Age Group 	Middle Housing	Low Personal Support	15	5	5	8	14	3	1	0	55	8	10	5	26	0
45 to 54 years	Age Group 	Middle Housing	Low Personal Support	16	4	8	5	23	6	2	0	73	13	12	2	38	0
55 to 64 years	Age Group 	Middle Housing	Low Personal Support	20	2	12	11	22	5	0	1	64	18	14	9	52	0
65 to 74 years	Age Group 	Middle Housing	Low Personal Support	19	4	9	9	10	5	1	1	42	18	8	5	42	0
75 to 84 years	Age Group 	Middle Housing	Low Personal Support	10	3	2	2	10	5	2	0	24	8	5	1	18	1
85 years and over	Age Group 	Middle Housing	Low Personal Support	1	0	1	0	10	0	0	0	15	3	2	0	10	1
$100,001 - $130,000	Household Income	Middle Housing	Low Personal Support	9	3	9	2	17	2	4	1	44	9	11	3	27	0
$40,000 - $70,000	Household Income	Middle Housing	Low Personal Support	17	3	6	10	18	3	1	1	54	17	11	6	48	1
$70,001 - $100,000	Household Income	Middle Housing	Low Personal Support	20	3	4	11	12	3	0	0	55	9	8	7	37	0
Less than $40,000	Household Income	Middle Housing	Low Personal Support	13	5	13	6	20	6	0	0	57	22	14	2	6	1
More than $130,000	Household Income	Middle Housing	Low Personal Support	17	5	5	3	18	8	1	1	57	10	8	4	3	1
Prefer not to answer	Household Income	Middle Housing	Low Personal Support	18	3	6	5	10	2	0	0	48	6	5	2	32	0
Owners	Type of Housing 	Middle Housing	Low Personal Support	76	19	33	34	58	21	5	2	227	59	39	22	147	3
Non-Owners	Type of Housing 	Middle Housing	Low Personal Support	18	3	10	3	37	3	1	1	88	14	18	2	61	0
I live alone	Household Composition	Middle Housing	Low Personal Support	22	6	10	8	29	6	1	1	70	13	13	2	58	0
Your spouse or common-law partner	Household Composition	Middle Housing	Low Personal Support	54	15	29	26	47	17	4	2	199	48	39	19	125	3
Your parent(s) (including in-laws)	Household Composition	Middle Housing	Low Personal Support	5	1	2	1	10	1	0	0	27	4	1	1	4	0
Your grandparent(s) (including in-laws)	Household Composition	Middle Housing	Low Personal Support	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Your child (birth, adopted, step or foster)	Household Composition	Middle Housing	Low Personal Support	18	2	11	7	19	1	1	0	89	17	12	5	30	0
Multiple of your children (birth, adopted, step or foster)	Household Composition	Middle Housing	Low Personal Support	7	4	1	3	9	3	1	0	20	7	5	4	25	0
Your grandchild(ren)	Household Composition	Middle Housing	Low Personal Support	1	1	0	0	1	0	0	0	1	2	1	1	3	0
Your sibling(s)	Household Composition	Middle Housing	Low Personal Support	3	0	0	0	7	0	0	0	9	1	1	0	1	0
Other relative(s)	Household Composition	Middle Housing	Low Personal Support	0	1	0	0	4	0	0	0	8	3	0	0	2	0
Other non-relative(s)	Household Composition	Middle Housing	Low Personal Support	5	0	2	0	3	0	1	0	13	3	2	0	5	0
Information about benefits to your community associated with the innovation	Key Pieces of Information	Middle Housing	Low Personal Support	37	10	17	17	45	7	3	1	134	32	31	13	92	2
Information about the organisation providing the innovation	Key Pieces of Information	Middle Housing	Low Personal Support	29	7	17	13	37	7	0	0	113	22	18	10	57	2
Sources of funding for the project	Key Pieces of Information	Middle Housing	Low Personal Support	29	10	11	15	27	6	1	2	114	28	20	12	83	1
Contact details of the organisation providing the innovation	Key Pieces of Information	Middle Housing	Low Personal Support	21	4	13	8	20	7	1	0	73	11	11	5	37	1
Reviews of the organisation providing the innovation	Key Pieces of Information	Middle Housing	Low Personal Support	24	5	13	14	25	5	0	1	92	21	20	5	49	0
Images or physical demos of the housing itself	Key Pieces of Information	Middle Housing	Low Personal Support	34	4	16	10	21	11	1	2	99	21	12	3	71	0
Building specifications (e.g. the number of new units to be constructed & the height of the building)	Key Pieces of Information	Middle Housing	Low Personal Support	48	14	16	18	36	13	6	0	138	33	24	12	76	1
Building management plan	Key Pieces of Information	Middle Housing	Low Personal Support	25	5	13	7	22	11	2	0	63	14	10	5	45	1
Detailed information about the process and timelines	Key Pieces of Information	Middle Housing	Low Personal Support	22	6	8	6	16	4	3	0	66	18	6	6	30	1
Man	Gender	Middle Housing	High Perceived Neighbors' Support	44	6	18	10	65	3	1	0	161	10	21	3	107	0
