				Alberta	Alberta	Atlantic Canada	Atlantic Canada	British Columbia	British Columbia	North	North	Ontario	Ontario	Prairies	Prairies	Quebec	Quebec
I can verify the information myself through other sources	Sources of Trust	ADU	Adopted	3	1	0	3	5	3	0	1	12	4	1	2	2	0
The information comes from a governmental organisation	Sources of Trust	ADU	Adopted	2	0	0	1	5	1	0	0	7	2	0	1	4	0
The information comes from a non-profit organisation	Sources of Trust	ADU	Adopted	0	0	0	2	4	0	0	1	6	3	1	1	5	0
The information comes from an expert or professional	Sources of Trust	ADU	Adopted	2	2	0	2	4	0	0	0	3	2	0	0	2	0
The source of the information doesn’t have a financial or political motivation	Sources of Trust	ADU	Adopted	5	1	0	2	4	1	0	1	3	4	2	3	1	0
The information is formatted and presented professionally	Sources of Trust	ADU	Adopted	2	1	0	1	2	2	0	0	10	1	0	1	4	0
The information is presented in a visual way (e.g., videos, images, graphs)	Sources of Trust	ADU	Adopted	1	1	0	0	2	2	0	0	6	0	1	0	5	0
Information about risks	Key Pieces of Information	ADU	Adopted	3	2	0	0	3	1	0	1	4	4	1	1	5	0
Information about the financial benefits associated with the innovation	Key Pieces of Information	ADU	Adopted	4	1	0	2	6	1	0	1	13	2	1	3	2	0
Information about the lifestyle, wellbeing or broader social benefits of the innovation	Key Pieces of Information	ADU	Adopted	0	0	0	1	3	0	0	0	2	2	1	0	4	0
Testimonials from people who have previously adopted the innovation	Key Pieces of Information	ADU	Adopted	1	1	0	1	4	0	0	0	3	2	0	0	1	0
Detailed information about the process and timelines	Key Pieces of Information	ADU	Adopted	1	0	0	1	4	0	0	0	5	3	0	1	2	0
Information about the organisation providing the innovation	Key Pieces of Information	ADU	Adopted	1	0	0	1	1	0	0	0	6	3	1	1	2	0
Information about ways to save money (e.g. incentive or rebate programs, additional perks)	Key Pieces of Information	ADU	Adopted	3	0	0	3	3	1	0	0	7	2	1	1	3	0
Information about how the innovation complies with rules in your area	Key Pieces of Information	ADU	Adopted	2	0	0	3	2	3	0	1	4	0	1	0	3	0
Information about the environmental impact of the innovation	Key Pieces of Information	ADU	Adopted	0	0	0	0	1	1	0	0	3	2	0	0	2	0
Man	Gender	ADU	High Willingness, High Capability	28	5	12	8	40	6	2	0	107	14	13	5	47	1
Woman	Gender	ADU	High Willingness, High Capability	17	8	8	5	24	7	0	0	83	10	8	2	26	1
Non-binary	Gender	ADU	High Willingness, High Capability	1	0	1	0	0	0	0	0	1	0	1	0	0	0
Prefer not to answer	Gender	ADU	High Willingness, High Capability	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25 to 34 years	Age Group	ADU	High Willingness, High Capability	9	1	5	1	9	2	0	0	47	1	2	0	9	0
35 to 44 years	Age Group	ADU	High Willingness, High Capability	12	2	6	5	21	2	1	0	51	4	11	2	24	1
45 to 54 years	Age Group	ADU	High Willingness, High Capability	9	2	5	1	17	3	0	0	44	7	3	2	18	1
55 to 64 years	Age Group	ADU	High Willingness, High Capability	14	3	2	3	8	4	0	0	28	7	4	1	14	0
65 to 74 years	Age Group	ADU	High Willingness, High Capability	2	3	0	3	5	2	1	0	17	3	2	1	5	0
75 to 84 years	Age Group	ADU	High Willingness, High Capability	0	2	2	0	3	0	0	0	3	2	0	1	2	0
85 years and over	Age Group	ADU	High Willingness, High Capability	0	0	1	0	1	0	0	0	1	0	0	0	1	0
$100,001 - $130,000	Household Income	ADU	High Willingness, High Capability	7	2	5	3	23	0	0	0	45	5	5	0	20	0
$40,000 - $70,000	Household Income	ADU	High Willingness, High Capability	7	2	4	6	11	4	0	0	37	5	5	0	14	1
$70,001 - $100,000	Household Income	ADU	High Willingness, High Capability	12	4	3	0	7	4	1	0	39	6	6	2	12	0
Less than $40,000	Household Income	ADU	High Willingness, High Capability	5	3	2	2	3	0	0	0	20	2	4	1	5	1
More than $130,000	Household Income	ADU	High Willingness, High Capability	13	1	5	2	19	5	1	0	44	6	2	4	18	0
Prefer not to answer	Household Income	ADU	High Willingness, High Capability	2	1	2	0	1	0	0	0	6	0	0	0	4	0
Owners	Ownership Status	ADU	High Willingness, High Capability	36	10	15	11	50	12	2	0	151	19	17	7	56	1
Non-Owners	Ownership Status	ADU	High Willingness, High Capability	10	3	6	2	14	1	0	0	40	5	5	0	17	1
Single-family home	Type of Housing	ADU	High Willingness, High Capability	32	11	14	13	43	12	2	0	124	21	13	7	45	2
Accessory Dwelling Unit	Type of Housing	ADU	High Willingness, High Capability	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Apartment (in a building with more than 12 units)	Type of Housing	ADU	High Willingness, High Capability	2	0	1	0	6	0	0	0	22	0	3	0	4	0
Condominium	Type of Housing	ADU	High Willingness, High Capability	4	1	2	0	3	0	0	0	11	1	1	0	7	0
Duplex, triplex or fourplex	Type of Housing	ADU	High Willingness, High Capability	5	1	0	0	2	0	0	0	9	0	3	0	6	0
Larger multiplex (5 - 12 units)	Type of Housing	ADU	High Willingness, High Capability	0	0	1	0	0	0	0	0	3	0	0	0	2	0
Mobile home	Type of Housing	ADU	High Willingness, High Capability	1	0	0	0	0	0	0	0	0	1	0	0	1	0
Townhouse, row house or semi-detached house	Type of Housing	ADU	High Willingness, High Capability	2	0	2	0	10	1	0	0	20	0	2	0	8	0
Other	Type of Housing	ADU	High Willingness, High Capability	0	0	0	0	0	0	0	0	1	1	0	0	0	0
I live alone	Household Composition	ADU	High Willingness, High Capability	3	2	0	1	7	2	1	0	18	2	0	1	8	0
Your spouse or common-law partner	Household Composition	ADU	High Willingness, High Capability	38	10	17	9	47	10	1	0	137	18	19	4	56	2
Your parent(s) (including in-laws)	Household Composition	ADU	High Willingness, High Capability	6	0	0	2	3	0	0	0	29	4	3	0	5	0
Your grandparent(s) (including in-laws)	Household Composition	ADU	High Willingness, High Capability	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Your child (birth, adopted, step or foster)	Household Composition	ADU	High Willingness, High Capability	17	2	11	6	24	4	0	0	74	2	10	2	23	0
Multiple of your children (birth, adopted, step or foster)	Household Composition	ADU	High Willingness, High Capability	3	0	3	2	9	0	0	0	17	4	2	2	13	0
Your grandchild(ren)	Household Composition	ADU	High Willingness, High Capability	2	0	0	1	0	0	0	0	2	0	0	0	0	0
Your sibling(s)	Household Composition	ADU	High Willingness, High Capability	0	0	0	0	3	0	0	0	5	0	0	0	3	0
Other relative(s)	Household Composition	ADU	High Willingness, High Capability	3	0	0	0	1	0	0	0	8	0	0	0	1	0
Other non-relative(s)	Household Composition	ADU	High Willingness, High Capability	5	1	2	0	5	1	0	0	7	0	1	0	0	0
Getting a permit would be complicated	Barriers	ADU	High Willingness, High Capability	24	10	10	6	27	9	1	0	75	14	10	3	29	1
The building process would be stressful or disruptive	Barriers	ADU	High Willingness, High Capability	12	4	5	2	22	9	1	0	62	4	5	0	14	0
The potential returns are not worth the investment	Barriers	ADU	High Willingness, High Capability	8	0	3	1	6	4	0	0	29	5	4	1	8	0
It doesn't align with my plan and vision for my property or future property	Barriers	ADU	High Willingness, High Capability	0	0	4	0	7	0	0	0	15	1	1	1	6	0
People in my neighbourhood would object	Barriers	ADU	High Willingness, High Capability	9	3	1	0	5	0	0	0	21	2	1	2	11	1
Finding and managing tenants puts me off building an ADU on my property	Barriers	ADU	High Willingness, High Capability	8	4	6	6	18	4	0	0	43	7	5	0	10	0
It would not give me enough privacy	Barriers	ADU	High Willingness, High Capability	12	2	5	3	13	1	1	0	31	1	3	2	13	0
It would leave me with too little outdoor space	Barriers	ADU	High Willingness, High Capability	14	1	5	2	24	1	1	0	41	5	7	2	15	0
It would negatively impact the value of my property	Barriers	ADU	High Willingness, High Capability	7	0	1	1	4	0	0	0	20	0	0	0	5	1
I would feel a sense of shame or disappointment in myself	Barriers	ADU	High Willingness, High Capability	3	0	0	0	1	0	0	0	3	0	2	0	6	0
People I care about would think less of me	Barriers	ADU	High Willingness, High Capability	1	1	2	0	2	0	0	0	13	1	3	1	5	0
It would increase the value of my property	Drivers	ADU	High Willingness, High Capability	12	5	5	2	23	5	0	0	46	5	4	2	13	0
It would help me accommodate my growing family	Drivers	ADU	High Willingness, High Capability	4	0	5	1	3	1	0	0	33	6	4	1	14	0
It would enable me to take care of older family members while maintaining our privacy	Drivers	ADU	High Willingness, High Capability	11	5	5	5	10	3	0	0	41	13	2	2	18	1
It would allow me to accommodate guests	Drivers	ADU	High Willingness, High Capability	11	2	3	4	17	0	0	0	33	6	7	1	19	1
It would provide space for a home office	Drivers	ADU	High Willingness, High Capability	8	0	0	0	8	0	0	0	24	2	2	0	8	0
It would provide extra space for hobbies	Drivers	ADU	High Willingness, High Capability	4	1	3	0	6	0	0	0	22	3	4	1	10	0
It adheres to my goal of living sustainably	Drivers	ADU	High Willingness, High Capability	3	1	1	2	3	3	0	0	13	2	5	0	6	0
It would contribute to improving housing availability in my area	Drivers	ADU	High Willingness, High Capability	5	2	1	4	9	2	0	0	27	2	4	0	9	0
It would provide extra income	Drivers	ADU	High Willingness, High Capability	23	6	9	8	24	9	0	0	65	5	8	3	20	0
It would be simple	Drivers	ADU	High Willingness, High Capability	4	0	3	0	4	0	0	0	14	1	0	1	5	0
There is high demand for short-term rentals in my area	Drivers	ADU	High Willingness, High Capability	4	0	4	3	8	4	0	0	20	2	1	1	7	0
There is high demand for long-term rentals in my area	Drivers	ADU	High Willingness, High Capability	8	2	4	1	12	3	1	0	21	6	4	2	7	0
I have access to incentive programs (e.g. federal, provincial or municipal) to build an ADU	Drivers	ADU	High Willingness, High Capability	3	1	2	1	11	2	2	0	18	3	4	0	9	0
I have access to other financing opportunities (e.g. contributions from family) to build an ADU	Drivers	ADU	High Willingness, High Capability	6	1	2	0	7	1	1	0	10	1	2	1	7	0
It would allow me to both downsize and continue living here as I grow older	Drivers	ADU	High Willingness, High Capability	10	5	3	2	7	1	1	0	19	4	1	1	10	0
I would not be able to afford it within the next 5 years	Barriers	ADU	High Willingness, High Capability	14	1	7	0	13	3	0	0	38	2	2	1	21	0
There are no financing options that would allow me to borrow money	Barriers	ADU	High Willingness, High Capability	16	2	4	4	15	6	0	0	35	4	5	0	12	0
My property would not be suitable for it	Barriers	ADU	High Willingness, High Capability	8	3	4	2	15	1	0	0	43	5	9	1	17	2
I don't know what the local regulations are about it	Barriers	ADU	High Willingness, High Capability	22	8	10	7	24	7	2	0	93	15	7	4	33	1
Local regulations do not allow me to build it	Barriers	ADU	High Willingness, High Capability	15	1	2	3	17	2	1	0	54	8	5	3	23	0
The information comes directly from other customers, e.g. online reviews or forums	Sources of Trust	ADU	High Willingness, High Capability	14	2	3	4	18	4	1	0	53	4	3	0	17	0
I can verify the information myself through other sources	Sources of Trust	ADU	High Willingness, High Capability	30	10	10	11	33	8	0	0	95	21	11	6	40	2
The information comes from a governmental organisation	Sources of Trust	ADU	High Willingness, High Capability	17	4	8	1	28	5	0	0	82	6	9	5	31	1
The information comes from a non-profit organisation	Sources of Trust	ADU	High Willingness, High Capability	11	5	4	1	12	3	0	0	51	3	9	1	20	1
The information comes from an expert or professional	Sources of Trust	ADU	High Willingness, High Capability	13	5	13	4	36	6	2	0	93	13	12	3	43	0
The source of the information doesn’t have a financial or political motivation	Sources of Trust	ADU	High Willingness, High Capability	16	6	12	10	24	6	1	0	73	15	9	2	23	1
The information is formatted and presented professionally	Sources of Trust	ADU	High Willingness, High Capability	21	4	8	5	23	3	1	0	59	5	6	2	24	0
The information is presented in a visual way (e.g., videos, images, graphs)	Sources of Trust	ADU	High Willingness, High Capability	15	3	3	3	18	4	1	0	66	3	6	2	21	1
Information about risks	Key Pieces of Information	ADU	High Willingness, High Capability	19	7	12	5	20	4	1	0	78	7	9	2	37	1
Information about the financial benefits associated with the innovation	Key Pieces of Information	ADU	High Willingness, High Capability	23	3	11	8	30	5	1	0	83	14	7	2	32	0
Information about the lifestyle, wellbeing or broader social benefits of the innovation	Key Pieces of Information	ADU	High Willingness, High Capability	10	1	6	2	18	4	1	0	57	3	8	1	19	0
Testimonials from people who have previously adopted the innovation	Key Pieces of Information	ADU	High Willingness, High Capability	13	4	6	3	17	4	0	0	55	4	5	0	17	1
Detailed information about the process and timelines	Key Pieces of Information	ADU	High Willingness, High Capability	15	7	6	6	26	9	1	0	73	11	9	3	31	0
Information about the organisation providing the innovation	Key Pieces of Information	ADU	High Willingness, High Capability	9	3	3	2	23	1	2	0	43	7	5	0	15	1
Information about ways to save money (e.g. incentive or rebate programs, additional perks)	Key Pieces of Information	ADU	High Willingness, High Capability	9	4	5	4	19	4	0	0	60	10	6	3	21	0
Information about how the innovation complies with rules in your area	Key Pieces of Information	ADU	High Willingness, High Capability	16	5	5	7	18	4	0	0	47	8	5	2	14	0
Information about the environmental impact of the innovation	Key Pieces of Information	ADU	High Willingness, High Capability	3	2	1	4	7	0	0	0	27	4	4	1	9	0
Man	Gender	ADU	High Willingness, Low Capability	15	3	8	6	20	4	0	0	72	10	11	2	13	0
Woman	Gender	ADU	High Willingness, Low Capability	20	5	13	10	24	9	0	1	70	18	11	3	11	1
Non-binary	Gender	ADU	High Willingness, Low Capability	0	0	0	0	0	0	0	0	1	0	0	0	1	0
Prefer not to answer	Gender	ADU	High Willingness, Low Capability	0	0	0	0	1	0	0	0	0	0	0	0	0	0
25 to 34 years	Age Group	ADU	High Willingness, Low Capability	4	2	1	1	6	2	0	0	32	6	2	0	7	1
35 to 44 years	Age Group	ADU	High Willingness, Low Capability	8	2	5	3	13	3	0	0	41	5	7	0	9	0
45 to 54 years	Age Group	ADU	High Willingness, Low Capability	8	0	3	7	10	1	0	0	44	5	9	3	5	0
55 to 64 years	Age Group	ADU	High Willingness, Low Capability	12	3	6	2	12	3	0	0	17	10	4	2	1	0
65 to 74 years	Age Group	ADU	High Willingness, Low Capability	1	1	2	1	3	2	0	1	6	1	0	0	3	0
75 to 84 years	Age Group	ADU	High Willingness, Low Capability	2	0	3	2	0	2	0	0	1	0	0	0	0	0
85 years and over	Age Group	ADU	High Willingness, Low Capability	0	0	1	0	1	0	0	0	2	1	0	0	0	0
$100,001 - $130,000	Household Income	ADU	High Willingness, Low Capability	7	4	3	3	12	1	0	1	24	5	7	1	3	0
$40,000 - $70,000	Household Income	ADU	High Willingness, Low Capability	9	2	4	2	8	6	0	0	26	6	4	2	7	1
$70,001 - $100,000	Household Income	ADU	High Willingness, Low Capability	5	0	2	6	5	2	0	0	33	3	4	1	7	0
Less than $40,000	Household Income	ADU	High Willingness, Low Capability	6	1	8	2	7	0	0	0	25	8	3	0	4	0
More than $130,000	Household Income	ADU	High Willingness, Low Capability	5	0	3	2	7	2	0	0	26	4	2	1	1	0
Prefer not to answer	Household Income	ADU	High Willingness, Low Capability	3	1	1	1	6	2	0	0	9	2	2	0	3	0
Owners	Ownership Status	ADU	High Willingness, Low Capability	20	7	16	12	32	13	0	1	95	19	15	5	12	1
Non-Owners	Ownership Status	ADU	High Willingness, Low Capability	15	1	5	4	13	0	0	0	48	9	7	0	13	0
Single-family home	Type of Housing	ADU	High Willingness, Low Capability	19	6	18	15	22	11	0	1	88	24	14	5	8	1
Accessory Dwelling Unit	Type of Housing	ADU	High Willingness, Low Capability	0	0	0	0	1	0	0	0	1	0	1	0	0	0
Apartment (in a building with more than 12 units)	Type of Housing	ADU	High Willingness, Low Capability	7	0	2	0	7	0	0	0	14	0	3	0	3	0
Condominium	Type of Housing	ADU	High Willingness, Low Capability	3	0	0	0	6	0	0	0	9	0	1	0	1	0
Duplex, triplex or fourplex	Type of Housing	ADU	High Willingness, Low Capability	3	1	1	1	3	1	0	0	7	3	0	0	4	0
Larger multiplex (5 - 12 units)	Type of Housing	ADU	High Willingness, Low Capability	1	0	0	0	0	0	0	0	3	0	0	0	6	0
Mobile home	Type of Housing	ADU	High Willingness, Low Capability	1	1	0	0	1	0	0	0	0	0	0	0	0	0
Townhouse, row house or semi-detached house	Type of Housing	ADU	High Willingness, Low Capability	1	0	0	0	4	0	0	0	20	0	1	0	3	0
Other	Type of Housing	ADU	High Willingness, Low Capability	0	0	0	0	1	1	0	0	1	1	2	0	0	0
I live alone	Household Composition	ADU	High Willingness, Low Capability	5	0	6	1	6	2	0	0	20	2	3	0	5	0
Your spouse or common-law partner	Household Composition	ADU	High Willingness, Low Capability	16	5	9	15	32	8	0	1	97	23	16	4	13	1
Your parent(s) (including in-laws)	Household Composition	ADU	High Willingness, Low Capability	2	0	1	0	3	0	0	0	9	2	2	0	4	0
Your grandparent(s) (including in-laws)	Household Composition	ADU	High Willingness, Low Capability	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Your child (birth, adopted, step or foster)	Household Composition	ADU	High Willingness, Low Capability	15	2	7	4	10	2	0	1	48	11	11	1	4	1
Multiple of your children (birth, adopted, step or foster)	Household Composition	ADU	High Willingness, Low Capability	2	1	1	3	5	4	0	0	28	6	5	1	6	0
Your grandchild(ren)	Household Composition	ADU	High Willingness, Low Capability	4	0	0	0	0	0	0	0	4	0	0	0	0	0
Your sibling(s)	Household Composition	ADU	High Willingness, Low Capability	1	0	0	0	1	0	0	0	6	0	0	0	2	0
Other relative(s)	Household Composition	ADU	High Willingness, Low Capability	1	1	1	0	2	0	0	0	5	0	0	0	0	0
Other non-relative(s)	Household Composition	ADU	High Willingness, Low Capability	3	1	1	0	3	3	0	0	4	3	0	0	1	0
Getting a permit would be complicated	Barriers	ADU	High Willingness, Low Capability	18	5	7	13	15	8	0	1	65	10	15	2	14	1
The building process would be stressful or disruptive	Barriers	ADU	High Willingness, Low Capability	10	2	9	7	12	4	0	1	59	10	9	3	4	0
The potential returns are not worth the investment	Barriers	ADU	High Willingness, Low Capability	5	2	5	2	9	2	0	0	23	6	6	0	6	0
It doesn't align with my plan and vision for my property or future property	Barriers	ADU	High Willingness, Low Capability	2	0	1	0	1	1	0	0	15	2	2	0	2	0
People in my neighbourhood would object	Barriers	ADU	High Willingness, Low Capability	7	1	2	1	4	0	0	0	18	2	6	0	3	0
Finding and managing tenants puts me off building an ADU on my property	Barriers	ADU	High Willingness, Low Capability	15	3	7	5	22	8	0	0	45	7	7	1	10	0
It would not give me enough privacy	Barriers	ADU	High Willingness, Low Capability	8	0	4	1	7	3	0	0	25	7	4	1	10	1
It would leave me with too little outdoor space	Barriers	ADU	High Willingness, Low Capability	8	0	1	4	10	1	0	0	36	4	5	0	5	0
It would negatively impact the value of my property	Barriers	ADU	High Willingness, Low Capability	3	0	2	0	1	0	0	0	8	1	1	0	2	0
I would feel a sense of shame or disappointment in myself	Barriers	ADU	High Willingness, Low Capability	0	0	0	0	1	0	0	0	8	0	1	0	1	0
People I care about would think less of me	Barriers	ADU	High Willingness, Low Capability	0	0	0	0	0	0	0	0	3	1	0	0	0	0
It would increase the value of my property	Drivers	ADU	High Willingness, Low Capability	9	0	4	3	12	2	0	1	37	6	3	0	5	0
It would help me accommodate my growing family	Drivers	ADU	High Willingness, Low Capability	5	4	2	2	6	2	0	0	29	5	6	1	5	0
It would enable me to take care of older family members while maintaining our privacy	Drivers	ADU	High Willingness, Low Capability	11	2	9	3	8	1	0	0	38	8	8	3	11	1
It would allow me to accommodate guests	Drivers	ADU	High Willingness, Low Capability	10	2	5	5	11	3	0	0	27	6	7	1	10	0
It would provide space for a home office	Drivers	ADU	High Willingness, Low Capability	4	0	2	1	5	0	0	0	13	1	1	0	3	0
It would provide extra space for hobbies	Drivers	ADU	High Willingness, Low Capability	2	2	1	3	3	0	0	0	19	1	0	1	3	0
It adheres to my goal of living sustainably	Drivers	ADU	High Willingness, Low Capability	5	0	3	4	2	2	0	1	15	3	3	0	0	0
It would contribute to improving housing availability in my area	Drivers	ADU	High Willingness, Low Capability	2	1	4	1	6	4	0	0	17	5	3	1	4	0
It would provide extra income	Drivers	ADU	High Willingness, Low Capability	19	5	9	7	22	9	0	0	61	14	12	0	7	0
It would be simple	Drivers	ADU	High Willingness, Low Capability	3	1	2	0	3	0	0	0	8	0	1	0	0	0
